"GEOID","NAME","variable","estimate","moe"
"2500135","Abington CDP, Massachusetts","inc_12_pov",607,219
"2500135","Abington CDP, Massachusetts","inc_12_pov_m",264,143
"2500135","Abington CDP, Massachusetts","inc_12_pov_f",343,128
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov",235,154
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov_m",90,62
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov_f",145,103
"2500590","Adams CDP, Massachusetts","inc_12_pov",839,291
"2500590","Adams CDP, Massachusetts","inc_12_pov_m",357,138
"2500590","Adams CDP, Massachusetts","inc_12_pov_f",482,188
"2500840","Agawam Town city, Massachusetts","inc_12_pov",2256,508
"2500840","Agawam Town city, Massachusetts","inc_12_pov_m",946,305
"2500840","Agawam Town city, Massachusetts","inc_12_pov_f",1310,330
"2501260","Amesbury Town city, Massachusetts","inc_12_pov",1068,363
"2501260","Amesbury Town city, Massachusetts","inc_12_pov_m",529,250
"2501260","Amesbury Town city, Massachusetts","inc_12_pov_f",539,169
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov",2319,503
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov_m",933,357
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov_f",1386,362
"2501430","Andover CDP, Massachusetts","inc_12_pov",721,242
"2501430","Andover CDP, Massachusetts","inc_12_pov_m",448,165
"2501430","Andover CDP, Massachusetts","inc_12_pov_f",273,130
"2501640","Arlington CDP, Massachusetts","inc_12_pov",2405,505
"2501640","Arlington CDP, Massachusetts","inc_12_pov_m",999,273
"2501640","Arlington CDP, Massachusetts","inc_12_pov_f",1406,321
"2502515","Athol CDP, Massachusetts","inc_12_pov",1506,502
"2502515","Athol CDP, Massachusetts","inc_12_pov_m",450,159
"2502515","Athol CDP, Massachusetts","inc_12_pov_f",1056,460
"2502690","Attleboro city, Massachusetts","inc_12_pov",3903,725
"2502690","Attleboro city, Massachusetts","inc_12_pov_m",1915,485
"2502690","Attleboro city, Massachusetts","inc_12_pov_f",1988,382
"2503040","Ayer CDP, Massachusetts","inc_12_pov",232,139
"2503040","Ayer CDP, Massachusetts","inc_12_pov_m",121,119
"2503040","Ayer CDP, Massachusetts","inc_12_pov_f",111,77
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov",129,128
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov_m",56,70
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov_f",73,73
"2503690","Barnstable Town city, Massachusetts","inc_12_pov",3823,641
"2503690","Barnstable Town city, Massachusetts","inc_12_pov_m",1734,327
