Week,Class,Date,Day,Topic,Readings,Due,Resources,,,,,,,,,,,,,,,,,,,,
10,24,3/29/2023,Wed,Package Documentation,"[Wickham, H., & Bryan, J. (2023). 17 Function documentation. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/man.html);[Wickham, H., & Bryan, J. (2023). 19  Other markdown files. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/other-markdown.html)",,,,,,,,,,,,,,,,,,,,,,
10,25,3/31/2023,Fri,Lab 6,,,,,,,,,,,,,,,,,,,,,,,
11,26,4/3/2023,Mon,Adv Functions/S3,,,https://beanumber.github.io/sds270/lab-dots.html,,,,,,,,,,,,,,,,,,,,
11,27,4/5/2023,Wed,Finals Work Time 1,,Lab 6,,,,,,,,,,,,,,,,,,,,,
11,28,4/7/2023,Fri,"Lab 7, **Quiz 3 Open**",,,,,,,,,,,,,,,,,,,,,,,
12,29,4/10/2023,Mon,Testing,"[Wickham, H., & Bryan, J. (2023). 14  Testing basics. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/testing-basics.html);[Wickham, H., & Bryan, J. (2023). 15  Designing your test suite. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/testing-design.html)",,,,,,,,,,,,,,,,,,,,,,
12,30,4/12/2023,Wed,Benchmarking,"[Wickham, H. (2020). 23 Measuring performance. In Advanced R. Chapman & Hall.](https://adv-r.hadley.nz/perf-measure.html)",Lab 7,,,,,,,,,,,,,,,,,,,,,
12,31,4/14/2023,Fri,Lab 8,,Quiz 3 Due,,,,,,,,,,,,,,,,,,,,,
13,32,4/17/2023,Mon,Package Vignettes/Reprex,"[Wickham, H., & Bryan, J. (2023). 18 Vignettes. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/vignettes.html)",,,,,,,,,,,,,,,,,,,,,,
13,33,4/19/2023,Wed,Package Website,"[Wickham, H., & Bryan, J. (2023). 20 Website. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/website.html)",Lab 8,,,,,,,,,,,,,,,,,,,,,
13,34,4/21/2023,Fri,Lab 9,,,,,,,,,,,,,,,,,,,,,,,
14,35,4/24/2023,Mon,Student's Choice,,,,,,,,,,,,,,,,,,,,,,,
14,36,4/26/2023,Wed,Student's Choice,,Lab 9,,,,,,,,,,,,,,,,,,,,,
14,37,4/28/2023,Fri,"Finals Work Time 2, **Quiz 4 Open**",,Final Standards Draft,,,,,,,,,,,,,,,,,,,,,
15,38,5/1/2023,Mon,Finals Work Time 3,,,,,,,,,,,,,,,,,,,,,,,
15,39,5/3/2023,Wed,Finals Showcase,,Final Presentation,,,,,,,,,,,,,,,,,,,,,
15,FALSE,5/5/2023,Fri,,,Quiz 4 Due,,,,,,,,,,,,,,,,,,,,,
