"GEOID","NAME","variable","estimate","moe"
"2500135","Abington CDP, Massachusetts","inc_12_pov",668,273
"2500135","Abington CDP, Massachusetts","inc_12_pov_m",293,150
"2500135","Abington CDP, Massachusetts","inc_12_pov_f",375,162
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov",256,162
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov_m",96,65
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov_f",160,108
"2500590","Adams CDP, Massachusetts","inc_12_pov",767,250
"2500590","Adams CDP, Massachusetts","inc_12_pov_m",396,157
"2500590","Adams CDP, Massachusetts","inc_12_pov_f",371,154
"2500840","Agawam Town city, Massachusetts","inc_12_pov",2219,457
"2500840","Agawam Town city, Massachusetts","inc_12_pov_m",970,259
"2500840","Agawam Town city, Massachusetts","inc_12_pov_f",1249,302
"2501260","Amesbury Town city, Massachusetts","inc_12_pov",1085,335
"2501260","Amesbury Town city, Massachusetts","inc_12_pov_m",531,254
"2501260","Amesbury Town city, Massachusetts","inc_12_pov_f",554,157
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov",2242,454
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov_m",1050,344
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov_f",1192,321
"2501430","Andover CDP, Massachusetts","inc_12_pov",725,244
"2501430","Andover CDP, Massachusetts","inc_12_pov_m",353,146
"2501430","Andover CDP, Massachusetts","inc_12_pov_f",372,181
"2501640","Arlington CDP, Massachusetts","inc_12_pov",2365,483
"2501640","Arlington CDP, Massachusetts","inc_12_pov_m",919,252
"2501640","Arlington CDP, Massachusetts","inc_12_pov_f",1446,316
"2502515","Athol CDP, Massachusetts","inc_12_pov",1485,482
"2502515","Athol CDP, Massachusetts","inc_12_pov_m",424,150
"2502515","Athol CDP, Massachusetts","inc_12_pov_f",1061,462
"2502690","Attleboro city, Massachusetts","inc_12_pov",3786,837
"2502690","Attleboro city, Massachusetts","inc_12_pov_m",1933,582
"2502690","Attleboro city, Massachusetts","inc_12_pov_f",1853,365
"2503040","Ayer CDP, Massachusetts","inc_12_pov",292,160
"2503040","Ayer CDP, Massachusetts","inc_12_pov_m",149,111
"2503040","Ayer CDP, Massachusetts","inc_12_pov_f",143,117
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov",103,129
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov_m",34,61
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov_f",69,80
"2503690","Barnstable Town city, Massachusetts","inc_12_pov",3496,517
"2503690","Barnstable Town city, Massachusetts","inc_12_pov_m",1502,291
"2503690","Barnstable Town city, Massachusetts","inc_12_pov_f",1994,351
"2503705","Barre CDP, Massachusetts","inc_12_pov",27,44
"2503705","Barre CDP, Massachusetts","inc_12_pov_m",27,44
"2503705","Barre CDP, Massachusetts","inc_12_pov_f",0,12
"2504790","Belchertown CDP, Massachusetts","inc_12_pov",268,127
"2504790","Belchertown CDP, Massachusetts","inc_12_pov_m",124,96
"2504790","Belchertown CDP, Massachusetts","inc_12_pov_f",144,108
"2504965","Bellingham CDP, Massachusetts","inc_12_pov",154,103
"2504965","Bellingham CDP, Massachusetts","inc_12_pov_m",41,31
"2504965","Bellingham CDP, Massachusetts","inc_12_pov_f",113,91
"2505105","Belmont CDP, Massachusetts","inc_12_pov",1546,370
"2505105","Belmont CDP, Massachusetts","inc_12_pov_m",539,172
"2505105","Belmont CDP, Massachusetts","inc_12_pov_f",1007,256
"2505595","Beverly city, Massachusetts","inc_12_pov",3598,821
"2505595","Beverly city, Massachusetts","inc_12_pov_m",1433,393
"2505595","Beverly city, Massachusetts","inc_12_pov_f",2165,508
"2506050","Blandford CDP, Massachusetts","inc_12_pov",6,6
"2506050","Blandford CDP, Massachusetts","inc_12_pov_m",0,12
"2506050","Blandford CDP, Massachusetts","inc_12_pov_f",6,6
"2506170","Bliss Corner CDP, Massachusetts","inc_12_pov",435,196
"2506170","Bliss Corner CDP, Massachusetts","inc_12_pov_m",147,76
"2506170","Bliss Corner CDP, Massachusetts","inc_12_pov_f",288,182
"2507000","Boston city, Massachusetts","inc_12_pov",121364,3628
"2507000","Boston city, Massachusetts","inc_12_pov_m",52463,1817
"2507000","Boston city, Massachusetts","inc_12_pov_f",68901,2510
"2507140","Bourne CDP, Massachusetts","inc_12_pov",102,60
"2507140","Bourne CDP, Massachusetts","inc_12_pov_m",13,23
"2507140","Bourne CDP, Massachusetts","inc_12_pov_f",89,51
"2507385","Boxford CDP, Massachusetts","inc_12_pov",0,12
"2507385","Boxford CDP, Massachusetts","inc_12_pov_m",0,12
"2507385","Boxford CDP, Massachusetts","inc_12_pov_f",0,12
"2507740","Braintree Town city, Massachusetts","inc_12_pov",1693,332
"2507740","Braintree Town city, Massachusetts","inc_12_pov_m",714,188
"2507740","Braintree Town city, Massachusetts","inc_12_pov_f",979,224
"2507945","Brewster CDP, Massachusetts","inc_12_pov",133,133
"2507945","Brewster CDP, Massachusetts","inc_12_pov_m",68,83
"2507945","Brewster CDP, Massachusetts","inc_12_pov_f",65,57
"2508130","Bridgewater Town city, Massachusetts","inc_12_pov",2129,836
"2508130","Bridgewater Town city, Massachusetts","inc_12_pov_m",744,369
"2508130","Bridgewater Town city, Massachusetts","inc_12_pov_f",1385,659
"2509000","Brockton city, Massachusetts","inc_12_pov",13950,1529
"2509000","Brockton city, Massachusetts","inc_12_pov_m",5699,841
"2509000","Brockton city, Massachusetts","inc_12_pov_f",8251,862
"2509070","Brookfield CDP, Massachusetts","inc_12_pov",43,43
"2509070","Brookfield CDP, Massachusetts","inc_12_pov_m",12,18
"2509070","Brookfield CDP, Massachusetts","inc_12_pov_f",31,30
"2509210","Brookline CDP, Massachusetts","inc_12_pov",7063,935
"2509210","Brookline CDP, Massachusetts","inc_12_pov_m",3396,522
"2509210","Brookline CDP, Massachusetts","inc_12_pov_f",3667,733
"2509875","Burlington CDP, Massachusetts","inc_12_pov",1039,321
"2509875","Burlington CDP, Massachusetts","inc_12_pov_m",361,146
"2509875","Burlington CDP, Massachusetts","inc_12_pov_f",678,217
"2510015","Buzzards Bay CDP, Massachusetts","inc_12_pov",224,140
"2510015","Buzzards Bay CDP, Massachusetts","inc_12_pov_m",114,88
"2510015","Buzzards Bay CDP, Massachusetts","inc_12_pov_f",110,67
"2511000","Cambridge city, Massachusetts","inc_12_pov",12799,1025
"2511000","Cambridge city, Massachusetts","inc_12_pov_m",6095,704
"2511000","Cambridge city, Massachusetts","inc_12_pov_f",6704,585
